핸들,이름,계정유형,국가,팔로워,팔로워수치,게시물수,최근30일게시수,최근12개중앙조회수,최고조회수,배수상위3개,평소좋아요율,주력카테고리,최근20개중광고수,공구·판매링크운영,배정적합(김·오·선),등급(S·A·B·제외),허수판정,허수사유,마지막정면채굴일시,마지막확인shortcode,재방문예정일,발굴경로(엔진·시드계정),이계정채택수,사람검토,사람메모
o2yaksa,산소약사 김정현,국내 약사 인플루언서,,2.4만,24000,268,,3258,11000,1.42x(Dbk8KBVJyCA); 0.76x(Dbf5N-aJT8k),,건강/뷰티,,,오약·선영,,실계정,,2026-08-05T06:39:31.079Z,DRoaqIXCaxm,2026-08-12T15:39:31+09:00,E1 #약사추천,0,,
beautiful_yaksa,뷰약사 ㅣ Healthy life Style l,국내 약사 인플루언서,,2.3만,23000,231,,9751,236000,11.69x(DbQCFgOz9z0); 1.03x(DbLIDhAzyM4),,뷰티·다이어트·일반영양제,,있음,오약·선영,,실계정,,2026-08-05T06:40:11.875Z,DOfKAu0EygQ,2026-08-12T15:40:11+09:00,E1 #약사추천,0,,
oyakstory,오약 | 영양제 • 이너뷰티 | 오주헌 약사,국내 약사 인플루언서,,2935,2935,29,,48000,472000,6.1x(DbVMg0nvMtU),,영양제·이너뷰티·증상,,,김주성·오약,,실계정,,2026-08-05T06:33:02.670Z,DbVMg0nvMtU,2026-08-12T15:33:02+09:00,E1 #약사추천,0,,
eunha__yak,은하약사 | 손혜림,국내 약사 인플루언서,한국,11.3만,113000,491,,15000,44000,2.93x(DbkpReKMuCV); 0.38x(DbVUOJ2M37H),,여성건강·가족건강·어린이건강·임신,,있음,김주성·오약·선영,B,실계정,,2026-08-05T04:20:28+09:00,,2026-08-12T04:20:28+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,공개 프로필에서 인증·약사엄마·의사아빠·아이 건강·여성 건강·건강 상담과 전담약사 하이라이트를 확인; 게시물 본문은 별도 검토 대기
on.yaksa,건강을 ON💡약사 이강미,국내 약사 인플루언서,,2751,2751,152,,2192,33000,0.39x(DbUlNd3JArt); 0.28x(DbCXdVZvtB6),,항노화·영양제·피부루틴,,있음,오약·선영,,실계정,,2026-08-05T06:34:49.605Z,DYMxNgBP848,2026-08-12T15:34:49+09:00,E1 #약사추천,0,,
joy_pharm1212,조이약사 | 수지 조이약국 | 맞춤 건강상담,국내 약사 인플루언서,,157,157,32,,1788,90000,50.35x(DZEOaxNPCMa); 1.08x(DaEa-5EPIED); 0.19x(DY5x7zvvdn2),,약물상호작용·영양제·육아건강,,있음,오약·선영,,실계정,,2026-08-05T06:35:41.829Z,DZEOaxNPCMa,2026-08-12T15:35:41+09:00,E1 #약사추천,0,,
gangnam_kimyaksa,강남김약사,국내 약사 인플루언서,,944,944,27,,7609,13000,1.58x(DbLF0Ttv03N); 0.85x(Da5Dl3SP9Ra),,건강·뷰티·다이어트·대사,,,김주성·선영,,실계정,,2026-08-05T06:36:34.736Z,DYi1ECIvAeJ,2026-08-12T15:36:34+09:00,E1 #약사추천,0,,
ej_yaksa,슈가팁스 | 당 관리 루틴 공유하는 약사 김은정,국내 약사 인플루언서,,1455,1455,52,,1900,3335,0.97x(DbVcEs9z-2I); 0.74x(DbkuslGTffo),,혈당·대사·피부·다이어트,,,김주성·선영,,실계정,,2026-08-05T06:37:19.018Z,DVGgD6wk1Y8,2026-08-12T15:37:19+09:00,E1 #약사추천,0,,
yak.golnam,약골라주는남자 | 약사 박준형,국내 약사 인플루언서,,7911,7911,123,,4091,117000,28.6x(DYYc-TSvPwG); 2.44x(DaCX_gfP0PA); 1.05x(DYvu6oCvV6O),,의약품·약국템·영양제,,있음,오약·공용,,실계정,,2026-08-05T06:38:00.337Z,DXT6okcDyaI,2026-08-12T15:38:00+09:00,E1 #약사추천,7,,
hisutamine,오희수｜약사 히수타민,국내 약사 인플루언서,,1.4만,14000,121,,15500,81000,5.23x(Da_sX41Ppuc); 0.84x(DbNyslZPO3J),,건강·뷰티·다이어트·영양제,,,김주성·선영,,실계정,,2026-08-05T06:38:47.332Z,DXQWklDDxvD,2026-08-12T15:38:47+09:00,E1 #약사추천,0,,
oneul_pharmacy,오늘부터 같이 시작해요!ㅣ오늘약사 김세희,국내 약사 인플루언서,,3.2만,32000,289,,7699,47000,1.2x(DbOB-dYJcjF); 0.54x(DbLjWOzJem8),,육아·약국템·영양제,,있음,선영·김주성·공용,,실계정,,2026-08-04T20:15:50+09:00,DTUORcskgAp,2026-08-11T20:15:50+09:00,E1 #약사추천,0,,
jessi_yaksa,제씨약사 | 뷰티•웰니스•건강 | 제선영,국내 약사 인플루언서,,6725,6725,42,,91500,591000,5.27x(DbIRYqqxuHe); 2.01x(DbngSZoAnr_); 0.74x(Dbk3oOzBX1X),,피부·뷰티·영양제·여성건강·약국템,,,선영·김주성·오약·공용,,실계정,,2026-08-04T21:26:00+09:00,DbngSZoAnr_,2026-08-11T21:26:00+09:00,E1 공개 홈 스토리 후보,6,,
medimantv,약사 메디슨맨 | 장무현,국내 약사 인플루언서,,9만,90000,318,,30000,224000,,,영양제·약물안전·여행상비약·피부,,있음,김주성·오약·선영,,실계정,,2026-08-04T21:43:19+09:00,DbRqt7dgKsn,2026-08-11T21:43:19+09:00,E1 공개 웹 후보·Instagram 직접 확인,4,,
yakstory119,약들약/고상온,국내 약사 인플루언서,,35.9만,359000,2279,,136000,551000,0.79x(DbZvtDUTK5H); 0.69x(Dbhd2X_T553),,영양제·대사·약물안전,,있음,김주성·오약·선영·공용,,실계정,,2026-08-04T22:00:11+09:00,DbnhRjhE-WW,2026-08-11T22:00:11+09:00,E1 공개 웹 후보·Instagram 직접 확인,4,,
little_yaksa,리틀약사,국내 약사 인플루언서,,6만,60000,577,,30000,133000,4.43x(DbaNtSpS8Jj); 0.83x(DbSfZrqykJw); 0.67x(DbnHipfyF7W),,영양제·약물안전·다이어트·피부,,있음,김주성·오약·선영·공용,,실계정,,2026-08-04T22:11:50+09:00,DbnHipfyF7W,2026-08-11T22:11:50+09:00,E1 Instagram 공개 검색·프로필 직접 확인,4,,
yaksa__bubu,육아정보 건강정보 | 약사부부,국내 약사 인플루언서,,9.8만,98000,270,,23000,131000,5.7x(DbkyEcwvaxM); 0.7x(DbkMb9DvqfU); 0.38x(DbiSJXbPT5q),,건강·뷰티·영양제·육아,,있음,김주성·오약·선영·공용,,실계정,,2026-08-04T22:29:29+09:00,DbkMb9DvqfU,2026-08-11T22:29:29+09:00,E1 공개 웹 후보·Instagram 직접 확인,4,,
bbubbu_yaksa,뿌뿌약사 | 김다영,국내 약사 인플루언서,,16.8만,168000,735,,42000,216000,5.14x(DbiWxYXSEZs); 0.4x(DbiZEY8vScA),,건강관리·영양제·육아·다이어트,,있음,김주성·오약·선영·공용,,실계정,,2026-08-04T22:47:30+09:00,DbjzceJvqpf,2026-08-11T22:47:30+09:00,E1 공개 웹 후보·Instagram 직접 확인,4,,
dasik.yaksa,다식 약사 | 박약다식·박소윤,국내 약사 인플루언서,,10.8만,108000,821,,26000,540000,1.04x(DbiDDBNPiZr); 0.96x(Dbjb3zqzswk),,영양제·약물안전·다이어트·여성건강·피부,,있음,김주성·오약·선영·공용,,실계정,,2026-08-04T22:57:30+09:00,DbnLUMED-eL,2026-08-11T22:57:30+09:00,E1 공개 웹 후보·Instagram 직접 확인,4,,
myo_yaksa,다정한 건강 묘약은 묘약사·김미나,국내 약사 인플루언서,,8.6만,86000,526,,8944,161000,1.12x(DbksfilvaHD); 0.33x(DbnSe7bPVMK),,여성건강·피부·임신준비·생활용품,,있음,김주성·오약·선영·공용,B,실계정,,2026-08-04T23:06:35+09:00,DbnSe7bPVMK,2026-08-11T23:06:35+09:00,E1 공개 웹 후보·Instagram 직접 확인,4,,
